slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.4829373937447903,-0.9875564811862494,3.1811212002286174e-40,0.034085651404410035,20230208T0800,-1.1232249060556023,-0.9878585232848215,1.7697663739074658e-40,0.025496457688585494,20230310T0800,-1.5397776411042723,-0.9872265406624148,5.939593155235812e-40,0.035867286528263397,20230404T1030
-1.4306843888552527,-0.9806846856098373,1.1282215710136041e-35,0.041186263034588444,20230208T0900,-1.1497770793139064,-0.9856533706790317,9.478915678267424e-39,0.028418128523164162,20230310T0830,-1.5517572554278054,-0.9865818255406188,1.9225798722076235e-39,0.03706551180144558,20230404T1100
-1.4468209106794911,-0.9819081757677753,2.3781851351410583e-36,0.04027228082194027,20230208T0930,-1.1766806176256657,-0.987464288803612,3.793796950776515e-40,0.027148181159402162,20230310T0900,-1.5423140196703367,-0.9851238645068052,2.248891721791495e-38,0.03883293497452422,20230404T1130
-1.5114216124542905,-0.9839339597552059,1.4069273510565508e-37,0.039583764139917224,20230208T1000,-1.1533115985978224,-0.9849645794149519,2.8987479299102634e-38,0.02919709206133579,20230310T0930,-1.5313874908517635,-0.9840981038741438,1.1016053253915028e-37,0.039896252945182016,20230404T1200
-1.5521611633962187,-0.9840288445980244,1.2217705291744608e-37,0.040527566187016195,20230208T1030,-1.1006090707680687,-0.9858125776913537,7.264637083579751e-39,0.027048238730001225,20230310T1000,-1.5464933203607674,-0.9855941707178686,1.045668898787362e-38,0.038303960434833625,20230404T1230
-1.5755644725143023,-0.9818523951028855,2.5589564012240147e-36,0.0439252930296363,20230208T1100,-1.148657264517715,-0.9855397628837081,1.1439925297644096e-38,0.02850510829960199,20230310T1030,-1.4490156803673333,-0.9740941521841794,1.203277791975393e-32,0.048555045598999924,20230404T1430
-1.526206643640242,-0.9787844943010153,1.0501129878705236e-34,0.04611387135760325,20230208T1130,-1.168290100666444,-0.9854324334810889,1.364530960236265e-38,0.029102097205729215,20230310T1100,-1.4523454325630432,-0.9750471470023521,4.946831292278175e-33,0.04772792201045036,20230404T1500
-1.4988371324803715,-0.9739969880539046,1.314966437591348e-32,0.05032239262548459,20230208T1200,-1.1126055441131153,-0.9846389423202192,4.830265676052617e-38,0.02847704406685283,20230310T1130,-1.452262748119829,-0.9767755879473706,9.005258804026977e-34,0.0459812560445512,20230404T1530
-1.45131056005531,-0.9710324778224332,1.6975498547966496e-31,0.05154761130252296,20230208T1230,-1.1576227101860803,-0.9836040720390027,2.283124741015284e-37,0.03063526192315203,20230310T1200,-1.4395464750690359,-0.9892838305466585,8.978825822730691e-42,0.03066566051403956,20230612T1000
-1.391313143210919,-0.9662603056858076,6.2534567399773034e-30,0.05353048865093083,20230208T1300,-1.116281680268091,-0.9848460409317035,3.4953510260592566e-38,0.028373394923911867,20230310T1230,-1.402830475651167,-0.9863357716704328,2.9654967289063624e-39,0.03382039507226643,20230612T1030
-1.3412892665117615,-0.962629086802603,6.979757791223817e-29,0.05446641879268439,20230208T1330,-1.0771882841622267,-0.9854425554333852,1.3421081025508122e-38,0.02682322083877436,20230310T1300,-1.4089369259258633,-0.9871117065650751,7.353398061306805e-40,0.03296958487734825,20230612T1100
-1.2885938247290358,-0.9584360785200425,8.545747322022586e-28,0.05536626562487907,20230208T1400,-1.136997140319631,-0.9867548124959865,1.4108186239492615e-39,0.026979300955026115,20230310T1330,-1.4252774100893006,-0.98794067798874,1.5050301268748608e-40,0.032241190652382144,20230612T1130
-1.2095072754095149,-0.9467134004684946,2.910180481177837e-25,0.05939219204276812,20230208T1430,-1.1492696600853154,-0.9899651231518991,1.8699984023213897e-42,0.02367882700018663,20230310T1400,-1.4127602736966238,-0.9873594969107223,4.6274085687557464e-40,0.03273353770104369,20230612T1200
-1.1877539387191074,-0.9391086441014754,6.5610470446985245e-24,0.06272907970771392,20230208T1500,-1.113991115444611,-0.9866733049606313,1.6331359691340118e-39,0.026516255078368526,20230310T1430,-1.342501925031381,-0.9885475025061811,4.3886012602734167e-41,0.029581135640149525,20230612T1230
-1.1785404469908884,-0.9536407579014151,1.1126452858414828e-26,0.05368211106439423,20230208T1530,-1.1125959110264096,-0.9827205205891999,7.967677451364218e-37,0.030247040912128098,20230310T1500,-1.3384630359924925,-0.9907059819214039,2.9922957141456334e-43,0.026524444368478606,20230612T1300
-1.2155736769970709,-0.9638597938670435,3.1681747066330346e-29,0.048495043780892116,20230208T1600,-1.0983167242352725,-0.9853982268451842,1.4429934769149347e-38,0.027391878397480786,20230310T1530,-1.334790901646565,-0.9904811181226477,5.2978523684642866e-43,0.026774318050522952,20230612T1330
-1.293638940776218,-0.9701063897658467,3.5754399103344734e-31,0.04670970451122782,20230208T1630,-1.110327293701887,-0.9884410222405693,5.473614446924511e-41,0.024580782664470002,20230310T1600,-1.3334598466757708,-0.9874573259777508,3.844397424754653e-40,0.030774071724971527,20230612T1400
-1.4610315229510802,-0.9592496786678713,5.36630261375681e-28,0.06211803601029638,20230208T1700,-1.175796044352178,-0.9922508987710746,3.877830625201254e-45,0.021251400596708218,20230310T1630,-1.3348626967970882,-0.989684340788972,3.6151570175032265e-42,0.02789072884389699,20230612T1430
-1.3925299155070983,-0.939131677210729,6.5034431653506445e-24,0.0735286755887455,20230208T1730,-1.1118869921434404,-0.9853795709410251,1.487588480672919e-38,0.027748423232952412,20230310T1700,-1.332745268386177,-0.990912331681866,1.7497379897044209e-43,0.02611220819150856,20230612T1500
-1.532171563804611,-0.9727041667157216,4.153206672721039e-32,0.0527576159763472,20230210T0745,-1.1710296186064666,-0.9871026518167039,7.477641148186819e-40,0.027412289270110014,20230310T1730,-1.3337024151047396,-0.988723081152495,3.0348581713663e-41,0.02915721444185029,20230612T1530
-1.5060650076271205,-0.974482061598079,8.413849990570697e-33,0.0500724266527889,20230210T0800,-1.127039598924671,-0.9888306370446772,2.4141683445026617e-41,0.02451939474977123,20230310T1800,-1.3426674265430025,-0.9875594284300361,3.163191142124419e-40,0.030857790282774595,20230612T1600
-1.4240534780445968,-0.9725482824755945,4.7531607071528646e-32,0.04918051710543734,20230210T0830,-1.4238366058460574,-0.9909001059219759,1.806870477269461e-43,0.027915959788916183,20230310T1830,-1.3415491674146505,-0.9873837656836959,4.4200194878433614e-40,0.031053155290926813,20230612T1630
-1.278261847017316,-0.9621882329567055,9.202960205427547e-29,0.052230356080589235,20230210T0900,-1.2806283300279067,-0.9716167750973268,1.0477822821510253e-31,0.045003843269945734,20230322T0800,-1.3470919071322767,-0.9863708091260561,2.7893667999924097e-39,0.032434080947936365,20230612T1700
-1.148969310137608,-0.9515917597588684,3.069755310045424e-26,0.05356625354884811,20230210T0930,-1.2991357363647864,-0.9790190386926361,8.063053448171753e-35,0.03902837334612361,20230322T0830,-1.541027782921495,-0.9819050974676266,2.3878338074863258e-36,0.04289828070437125,20230613T0830
-1.0778201684456523,-0.9459378876545134,4.080441269681119e-25,0.05334258512836428,20230210T1000,-1.305398732741265,-0.9809156968952368,8.474235284248851e-36,0.03734754276741046,20230322T0900,-1.5430051315684157,-0.982192228859143,1.63181880405736e-36,0.042601797671620846,20230613T0900
-1.0524510497844248,-0.9431840489357202,1.303199113245784e-24,0.05351517481128026,20230210T1030,-1.2994702347222544,-0.9831881134321339,4.1462036179323175e-37,0.034833673673962576,20230322T0930,-1.5465412530226783,-0.9819148385867501,2.3574287905689674e-36,0.04303985073576941,20230613T0930
-1.0399815167865578,-0.9429462927177636,1.4367001814516256e-24,0.05300177053074668,20230210T1100,-1.2792220408580577,-0.9803633409315284,1.670395486385218e-35,0.03714022162723212,20230322T1000,-1.543052187878432,-0.9820373124281845,2.0054183452237837e-36,0.042793083186974015,20230613T1000
-1.043394179366332,-0.9469890770492588,2.577576661269788e-25,0.05109133626967544,20230210T1130,-1.2390118699249948,-0.9817406499008046,2.9614647497950122e-36,0.03465166772923464,20230322T1030,-1.546183015352978,-0.9818536002709903,2.5549152769182137e-36,0.0431046937911697,20230613T1030
-1.051121858669274,-0.9536147380493593,1.1273991750101275e-26,0.04789266042691752,20230210T1200,-1.2592719740536535,-0.9803491879226909,1.699262553491664e-35,0.036574572986893275,20230322T1100,-1.546800542472676,-0.9816617032224791,3.2816568212539555e-36,0.04335569027773618,20230613T1100
